Date,Close,High,Low,Open
2021-10-16,9.7999996796716e-05,0.00010299999848939478,9.600000339560211e-05,0.00010099999781232327
2021-10-17,9.40000027185306e-05,9.999999747378752e-05,9.000000136438757e-05,9.7999996796716e-05
2021-10-18,9.40000027185306e-05,9.699999645818025e-05,8.399999933317304e-05,9.300000237999484e-05
2021-10-19,9.40000027185306e-05,9.600000339560211e-05,9.000000136438757e-05,9.500000305706635e-05
2021-10-20,9.7999996796716e-05,9.999999747378752e-05,9.200000204145908e-05,9.40000027185306e-05
2021-10-21,0.00010800000018207356,0.00011700000322889537,9.500000305706635e-05,9.7999996796716e-05
2021-10-22,9.899999713525176e-05,0.00010900000052060932,9.699999645818025e-05,0.00010800000018207356
2021-10-23,9.899999713525176e-05,0.00010099999781232327,9.699999645818025e-05,9.899999713525176e-05
2021-10-24,9.699999645818025e-05,0.00010299999848939478,9.699999645818025e-05,9.899999713525176e-05
2021-10-25,9.999999747378752e-05,0.00010199999815085903,9.699999645818025e-05,9.699999645818025e-05
2021-10-26,9.899999713525176e-05,0.00010299999848939478,9.7999996796716e-05,9.999999747378752e-05
2021-10-27,9.000000136438757e-05,9.999999747378752e-05,8.800000068731606e-05,9.899999713525176e-05
2021-10-28,9.500000305706635e-05,9.7999996796716e-05,8.600000001024455e-05,9.000000136438757e-05
2021-10-29,9.699999645818025e-05,9.899999713525176e-05,9.200000204145908e-05,9.500000305706635e-05
2021-10-30,9.600000339560211e-05,0.00010399999882793054,9.40000027185306e-05,9.699999645818025e-05
2021-10-31,9.40000027185306e-05,9.899999713525176e-05,9.200000204145908e-05,9.600000339560211e-05
2021-11-01,9.200000204145908e-05,9.500000305706635e-05,9.000000136438757e-05,9.40000027185306e-05
2021-11-02,9.300000237999484e-05,9.600000339560211e-05,9.100000170292333e-05,9.200000204145908e-05
2021-11-03,9.300000237999484e-05,9.40000027185306e-05,9.000000136438757e-05,9.300000237999484e-05
2021-11-04,9.100000170292333e-05,9.40000027185306e-05,8.800000068731606e-05,9.200000204145908e-05
2021-11-05,9.40000027185306e-05,9.7999996796716e-05,8.900000102585182e-05,9.100000170292333e-05
2021-11-06,8.900000102585182e-05,9.40000027185306e-05,8.900000102585182e-05,9.40000027185306e-05
2021-11-07,9.7999996796716e-05,0.00010099999781232327,8.900000102585182e-05,8.900000102585182e-05
2021-11-08,9.600000339560211e-05,0.00011600000289035961,9.300000237999484e-05,9.7999996796716e-05
2021-11-09,9.300000237999484e-05,9.999999747378752e-05,9.100000170292333e-05,9.600000339560211e-05
2021-11-10,9.000000136438757e-05,9.999999747378752e-05,8.600000001024455e-05,9.300000237999484e-05
2021-11-11,9.300000237999484e-05,9.500000305706635e-05,8.800000068731606e-05,9.000000136438757e-05
2021-11-12,9.300000237999484e-05,9.40000027185306e-05,8.900000102585182e-05,9.300000237999484e-05
2021-11-13,9.000000136438757e-05,9.40000027185306e-05,8.900000102585182e-05,9.300000237999484e-05
2021-11-14,9.100000170292333e-05,9.200000204145908e-05,8.70000003487803e-05,9.000000136438757e-05
2021-11-15,9.100000170292333e-05,9.200000204145908e-05,8.900000102585182e-05,9.100000170292333e-05
2021-11-16,8.299999899463728e-05,9.100000170292333e-05,7.999999797903001e-05,9.100000170292333e-05
2021-11-17,8.299999899463728e-05,8.399999933317304e-05,7.79999973019585e-05,8.299999899463728e-05
2021-11-18,7.000000186963007e-05,8.499999967170879e-05,5.999999848427251e-05,8.299999899463728e-05
2021-11-19,7.200000254670158e-05,8.099999831756577e-05,6.800000119255856e-05,7.000000186963007e-05
2021-11-20,7.100000220816582e-05,7.300000288523734e-05,6.600000051548705e-05,7.200000254670158e-05
2021-11-21,6.900000153109431e-05,7.400000322377309e-05,6.800000119255856e-05,7.100000220816582e-05
2021-11-22,6.399999983841553e-05,7.000000186963007e-05,6.199999916134402e-05,6.900000153109431e-05
2021-11-23,5.999999848427251e-05,6.399999983841553e-05,5.700000110664405e-05,6.399999983841553e-05
2021-11-24,6.0999998822808266e-05,6.299999949987978e-05,5.8000001445179805e-05,5.999999848427251e-05
2021-11-25,5.999999848427251e-05,6.399999983841553e-05,5.8000001445179805e-05,6.199999916134402e-05
2021-11-26,5.199999941396527e-05,7.100000220816582e-05,5.199999941396527e-05,6.0999998822808266e-05
